order_id,order_date,customer_id,country,category,unit_price,quantity,discount_pct,status
104882,2023-01-01,1159,US,Electronics,144.64,4,10,completed
102942,2023-01-01,1437,TR,Toys,68.35,3,0,completed
100542,2023-01-01,192,US,Clothing,100.22,5,0,completed
104521,2023-01-01,1345,TR,Electronics,728.0,5,0,completed
103354,2023-01-01,549,UK,Home,43.05,2,20,completed
101224,2023-01-01,27,UK,Electronics,594.4,5,0,completed
101227,2023-01-01,1229,UK,Home,223.96,4,30,completed
100915,2023-01-02,1096,UK,Home,234.3,5,5,completed
103007,2023-01-02,26,US,Home,231.62,2,15,completed
102276,2023-01-02,308,NL,Electronics,717.71,3,0,completed
105306,2023-01-02,583,US,Clothing,27.59,5,0,cancelled
104631,2023-01-02,842,US,Clothing,41.25,4,20,completed
100803,2023-01-03,700,UK,Electronics,428.1,1,0,completed
100266,2023-01-03,1486,DE,Electronics,710.19,3,30,completed
100754,2023-01-04,1368,UK,Toys,80.13,3,0,completed
105064,2023-01-04,1053,UK,Clothing,71.58,2,15,completed
105920,2023-01-05,911,NL,Home,161.71,1,5,refunded
104028,2023-01-05,167,US,Books,30.22,3,0,completed
103675,2023-01-05,1490,DE,Clothing,113.02,5,20,completed
104781,2023-01-05,883,DE,Books,21.87,2,0,completed
105267,2023-01-05,773,DE,Books,18.7,1,30,refunded
101908,2023-01-05,41,TR,Home,49.76,5,0,completed
100936,2023-01-05,1143,FR,Toys,90.0,2,0,completed
102919,2023-01-05,949,UK,Books,9.39,5,10,completed
104072,2023-01-05,1089,TR,Electronics,615.03,1,10,completed
104566,2023-01-05,974,US,Clothing,79.98,1,0,completed
102693,2023-01-06,591,FR,Toys,55.47,1,10,completed
101665,2023-01-06,989,US,Books,44.4,2,10,completed
102110,2023-01-06,799,NL,Clothing,45.02,3,0,completed
100760,2023-01-06,144,US,Clothing,23.75,5,20,completed
100647,2023-01-06,987,FR,Clothing,70.47,3,5,refunded
